gen,avg_fitness,std_fitness,best_of_gen
0,11821523.96186834,1050169.57629646,13248240.075880442
1,11973603.887686947,1221492.2629334743,13254451.512199845
2,11946824.256870488,1366288.0233190123,13259252.973843021
3,11807135.218094846,1542750.7916411236,13259252.973843021
4,11858592.898331106,1506241.4625954905,13259252.973843021
5,12467809.847370833,672515.3567819559,13329524.437254885
6,11954753.063858045,957526.3433904846,13244875.709114205
7,12539378.35484724,539474.1969102654,13244875.709114205
8,11915226.399885286,1078354.9229757355,13139061.438485177
9,11996049.327929733,1337377.4497978466,13207931.45947272
10,12230362.669688318,761597.1143737924,13207931.45947272
11,11976073.836254345,1005549.24254357,13207931.45947272
12,12192572.00138301,1033808.1751719923,13207931.45947272
13,12504349.810234794,588794.2284992712,13158222.034422517
14,12450380.764733873,594809.2767106751,13234956.637640573
15,12704891.000174075,468264.72586405894,13339356.853602491
16,12106810.515246917,952026.8327357776,13283310.495722013
17,12321722.888451856,969114.3996731112,13283310.495722013
18,12184967.495371124,1249118.939017356,13283310.495722013
19,11986130.36849001,1284009.6686893054,13200918.932731904
20,11404293.017422251,2200483.5092891045,13374732.648290023
21,12269623.16970808,1538636.9938308236,13374732.648290023
22,12362961.304065334,1281934.2261042313,13374732.648290023
23,12426278.148748575,667443.5818274326,13374732.648290023
24,11936411.094892997,1230740.1878908165,13256625.757828793
