gen,avg_fitness,std_fitness,best_of_gen
0,1217.5151333333336,217.6920373731152,1451.092
1,1299.8655733333333,141.1502568148967,1455.0293333333334
2,1318.6404933333333,136.1047434607665,1455.0293333333334
3,1304.9563333333333,145.04394541332022,1455.0293333333334
4,1329.3296399999997,128.3249508246734,1455.0293333333334
5,1342.14392,122.30664827251142,1455.0293333333334
6,1349.5555599999998,100.82716548251027,1455.0293333333334
7,1343.3174133333334,117.25181018718379,1455.0293333333334
8,1336.0289066666664,128.90858866252717,1455.0293333333334
9,1342.2340666666664,134.63918493413752,1457.1266666666668
10,1354.1777333333334,114.93428140250893,1457.1266666666668
11,1351.4361600000002,93.52834157366989,1457.1266666666668
12,1348.9571466666666,126.75265483308927,1457.1266666666668
13,1363.029786666667,104.80437537791295,1457.808
14,1360.9014133333337,104.05051204236356,1457.808
15,1324.3064933333333,142.01451050902025,1457.808
16,1337.6517333333336,117.37546162559795,1457.808
17,1357.0466533333333,101.17393376267009,1457.808
18,1346.6475733333332,101.47161688824976,1457.808
19,1373.7924000000003,91.36836422200216,1457.808
20,1364.2465599999998,95.71300762363471,1457.808
21,1365.7111200000002,105.46117793542712,1457.808
22,1352.9165466666666,123.74768098928398,1457.808
23,1373.43492,106.56649459199035,1457.808
24,1354.2895866666668,112.88044040384911,1457.808
