gen,avg_fitness,std_fitness,best_of_gen
0,663.4976923076923,308.29734509112575,1188.4615384615386
1,839.7614644970413,216.4928140146767,1188.4615384615386
2,854.3901627218935,202.6447935158414,1188.4615384615386
3,876.4045857988166,273.2771999231913,1188.4615384615386
4,1002.2536982248522,158.26359283235294,1188.4615384615386
5,987.9389792899409,161.02402427709174,1188.4615384615386
6,911.9260355029585,233.51822521064094,1188.4615384615386
7,996.5506656804735,142.31488338813926,1188.4615384615386
8,932.2056213017752,267.50505112761914,1188.4615384615386
9,950.5473372781065,251.15835277875686,1188.4615384615386
10,976.2045118343194,194.58066493609448,1188.4615384615386
11,824.5595414201182,329.7498784442553,1170.2403846153845
12,757.1878698224851,313.70086497169905,1170.2403846153845
13,866.2292899408284,273.3493238014072,1170.2403846153845
14,851.5192307692306,263.92842609080793,1170.2403846153845
15,929.8746301775147,187.11560640385554,1188.4615384615386
16,919.083949704142,206.2937642627289,1188.4615384615386
17,957.935650887574,212.84022702700125,1188.4615384615386
18,947.3794378698224,201.1750924690475,1170.2403846153845
19,973.116124260355,148.145575103344,1188.4615384615386
20,914.2699704142012,236.23547443928962,1188.4615384615386
21,958.6945266272189,201.1890789009634,1188.4615384615386
22,919.5081360946746,200.28483042206972,1188.4615384615386
23,977.7662721893491,193.84766429306012,1188.4615384615386
24,983.3424556213017,218.53066637646052,1188.4615384615386
