gen,avg_fitness,std_fitness,best_of_gen
0,11386228.083871637,1595565.366374675,13154602.633894425
1,12067761.535731437,1159080.3175384367,13156945.035451846
2,12279143.087155854,996253.0068092927,13269838.0
3,12429501.445980888,878345.0236755018,13269838.0
4,12361785.090151891,1061890.1937997055,13269838.0
5,12441122.707214704,697218.5192832272,13269838.0
6,12406455.827551253,843294.5033682976,13269838.0
7,12195316.083520554,919741.7625066068,13269838.0
8,12268866.362650897,968622.6939647368,13269838.0
9,12409177.67054351,861407.8971078325,13269838.0
10,12551630.921816599,699487.5910087576,13315252.622290442
11,12515432.961777546,779471.8556069762,13315252.622290442
12,12492133.412907602,810228.5042682822,13315252.622290442
13,12494146.402557338,834332.1728118738,13315252.622290442
14,12578167.385629756,763836.317052827,13322075.35375333
15,12499153.870753197,766656.6707376972,13322075.35375333
16,12654410.745511169,605903.8258734132,13341865.203888241
17,12530655.51584872,1017552.0114526589,13355962.0
18,12719077.581948997,651737.5968898193,13355962.0
19,12757533.586258072,538219.490302386,13428047.163183108
20,12740112.83774777,570234.8059688278,13428047.163183108
21,12624096.003652316,688874.1896493377,13428047.163183108
22,12608118.73209096,765024.2287086186,13437063.54076478
23,12593773.877188005,933805.3884626738,13437063.54076478
24,12541985.233085267,845822.7271598113,13437063.54076478
