gen,avg_fitness,std_fitness,best_of_gen
0,1259.7734117647058,474.95551828036366,1725.2941176470588
1,1451.5989411764708,264.6212212082731,1735.0
2,1569.59,192.35793833138354,1735.0
3,1623.0142352941177,147.37041047598936,1735.0
4,1661.6945882352943,107.87693626686503,1735.0
5,1695.650117647059,64.86794993717547,1735.0
6,1705.8462352941178,48.39529760693354,1735.0
7,1681.3182352941176,137.20077093940392,1735.0
8,1709.7127058823528,88.60634290651227,1735.0
9,1717.3715294117646,87.65861416413375,1735.0
10,1696.398117647059,118.54386540069632,1735.0
11,1725.0992941176473,39.880123217906835,1735.0
12,1710.755294117647,112.41500863974547,1735.0
13,1688.44,158.19104399427928,1735.0
14,1709.395294117647,118.70054324843696,1735.0
15,1720.6336470588235,77.8045124427674,1735.0
16,1700.3,137.6777759843614,1735.0
17,1720.632,75.55204432904235,1735.0
18,1700.255294117647,132.40183285719513,1735.0
19,1733.595294117647,9.83294117647059,1735.0
20,1699.4945882352943,172.65130718027834,1735.0
21,1720.632,75.55204432904233,1735.0
22,1709.6967058823532,113.09029225489508,1735.0
23,1722.66,86.38,1735.0
24,1721.255294117647,86.7382441083716,1735.0
