gen,avg_fitness,std_fitness,best_of_gen
0,11293265.416481543,1678690.2590422358,13178247.03016686
1,11999467.349775212,1463337.720994185,13203069.90148528
2,12471515.374453442,1004365.798974876,13203069.90148528
3,12674903.703899633,909054.3223242833,13203069.90148528
4,12750525.226512415,506750.5673156606,13205638.46459906
5,12807189.990672296,449052.5395208621,13205638.46459906
6,12899406.138690926,409950.8253916649,13205638.46459906
7,12850543.046416765,503930.6909245665,13206994.92651362
8,12901253.145664064,402736.5774394074,13206994.92651362
9,12955908.26036923,389189.8831290986,13206994.92651362
10,12983290.775862807,362466.9418755271,13211863.337395888
11,13041646.968682127,338268.49371107435,13211863.337395888
12,12943122.691156736,732035.141359573,13212926.179542111
13,13069800.564160256,315791.09944124694,13212926.179542111
14,13099958.818392292,269626.01378851314,13214267.73794959
15,13129757.234050538,207947.06580543733,13214267.73794959
16,13078328.993874006,447622.22873747535,13214267.73794959
17,13025458.278386984,446737.69721587305,13302303.523852548
18,12947054.454019573,503260.5805643568,13302303.523852548
19,12981335.224661654,404726.7313896951,13309011.691280538
20,13063940.370397633,375236.13831537584,13309011.691280538
21,13129404.926712982,322757.9883260212,13309011.691280538
22,13061422.774179984,436896.9831118104,13309011.691280538
23,13122401.511582784,309599.4779231714,13333484.438387115
24,13083452.31026534,315376.33944536245,13333484.438387115
