gen,avg_fitness,std_fitness,best_of_gen
0,89.35236363636362,134.4605029980838,284.58181818181816
1,72.58266666666665,190.8650962525831,250.47272727272724
2,146.6178181818182,155.71926052688963,284.58181818181816
3,160.00133333333332,67.53308022970145,284.58181818181816
4,170.49236363636362,84.34164256638132,284.58181818181816
5,189.67515151515147,75.50479954338213,284.58181818181816
6,193.86327272727272,75.65604779954123,296.3636363636364
7,185.77587878787884,87.0765362171766,296.3636363636364
8,175.72436363636368,105.20172927480588,296.3636363636364
9,174.76739393939394,115.13096123987832,296.3636363636364
10,196.82157575757574,65.4830726965765,296.3636363636364
11,182.42872727272731,132.2073471231068,296.3636363636364
12,179.21915151515154,104.89258638347555,296.3636363636364
13,184.26763636363634,77.53232567686317,296.3636363636364
14,205.08933333333334,62.22774895078636,296.3636363636364
15,182.29757575757577,108.03281745554413,296.3636363636364
16,189.6809696969697,97.74493389682164,296.3636363636364
17,185.05927272727274,86.0483673951569,296.3636363636364
18,189.45963636363638,97.62018487447901,296.3636363636364
19,207.78472727272728,56.69235366907908,309.0
20,174.29066666666665,150.2998739500451,309.0
21,205.28218181818184,71.89065365966792,309.0
22,179.8347878787879,87.66626878004168,309.0
23,181.12727272727275,90.72486762667086,296.3636363636364
24,180.76763636363637,75.96548411144695,296.3636363636364
