gen,avg_fitness,std_fitness,best_of_gen
0,12052869.371075146,1060590.6636453674,13182858.255870383
1,12032313.818509547,1163410.731009626,13052843.891261645
2,11730119.684999904,1381237.2068475806,13277510.0
3,12228436.76436309,1035692.7352827649,13277510.0
4,12621019.901692986,617980.7714717629,13277510.0
5,12293771.77793832,828469.9384215804,13302556.203520669
6,12161677.67549087,1207742.7843384184,13302556.203520669
7,12206048.642455306,622484.8538529788,13302556.203520669
8,11926700.325430324,909698.2416268165,13015777.77152766
9,11761999.953819187,1099726.8439993903,13204776.966452692
10,11897388.140132617,876851.623283228,13204776.966452692
11,12139314.036469024,1009922.7858111197,13204776.966452692
12,12426964.335450081,686672.5665045037,13303695.86818609
13,12508186.266294552,479195.56799210183,13197171.025397476
14,11850936.792157779,1143624.0754151267,13203510.364830626
15,12233834.145453636,1156618.9647763025,13188460.808752408
16,12362086.490474857,1293758.415879545,13425227.576524707
17,12325452.014902117,904375.1756237131,13425227.576524707
18,12474301.044149378,793238.5317790655,13425227.576524707
19,12085795.189840931,822247.9799617872,13281520.688929575
20,12182211.269349921,864708.1595738196,13293091.0
21,11593026.511278013,1379878.2763189035,13243440.694232516
22,11651970.223405512,1114905.7839843805,13026553.683024524
23,12163506.90084103,817560.212873792,13026553.683024524
24,12293580.807498384,784983.9183758673,13163363.800388183
25,12246810.640008977,658276.6678700047,13163363.800388183
26,12404591.964821527,926617.2565324798,13163363.800388183
27,12485141.270111749,1059656.0563465694,13266137.795939527
28,12254483.646299016,1052603.2333020975,13271226.700136473
29,12036598.086754058,939734.766995215,13271226.700136473
30,12330343.045920253,736145.6526797642,13271226.700136473
31,12306657.172265189,763064.1825910116,13271226.700136473
32,12631592.16973014,411409.6912991232,13271226.700136473
33,12543479.539164217,737620.5553076029,13271226.700136473
34,12394429.957396021,800788.0791570074,13311258.621657105
35,12449790.75397142,808156.0998705787,13311258.621657105
36,12380368.33891565,789731.876052785,13311258.621657105
37,12416474.286028774,957802.4349399704,13298028.717735916
38,12278858.65477115,1522768.0529481748,13298028.717735916
39,12494795.403629182,822375.5008058484,13311258.621657105
40,12248445.243485061,866181.6986276649,13381067.86854289
41,12010196.887091875,1583115.5645161234,13441092.595091643
42,12042599.443982927,1345043.3478804126,13441092.595091643
43,11725088.597985456,1255803.6230807225,13441092.595091643
44,12595572.245474357,489993.306358299,13441092.595091643
45,12391396.160795622,947497.2377610249,13441092.595091643
46,12389374.502693096,761866.9676813639,13441092.595091643
47,12087721.226631343,1149659.3345139567,13330520.611196281
48,11685026.339870287,1739598.8713541606,13330520.611196281
49,12262364.89054809,896653.7678477019,13330520.611196281
