gen,avg_fitness,std_fitness,best_of_gen
0,34.298461538461545,14.163018683347559,51
1,40.128461538461536,11.681471724778719,51
2,42.88423076923077,8.524990230607461,51
3,44.97153846153846,7.043910501129966,51
4,46.155,7.018044061960662,51
5,47.70653846153846,5.39513986580493,51
6,49.031923076923086,3.9187950048376905,51
7,50.03769230769231,2.939729790746686,51
8,50.16576923076923,3.106924386272031,51
9,49.57230769230769,4.652123902556092,51
10,50.20576923076923,3.3719754143923226,51
11,50.143846153846155,3.351912021694996,51
12,49.89192307692308,3.5785922284158196,51
13,49.485,5.288778717761199,51
14,49.753461538461536,3.939656125173286,51
15,49.94538461538461,3.067269375212805,51
16,49.927692307692304,4.011899017648707,51
17,50.67807692307692,1.604714347195374,51
18,50.17807692307692,3.3304257017729113,51
19,49.963846153846156,3.250561262414548,51
20,49.35384615384615,4.664755173468632,51
21,50.035769230769226,3.1926054309716734,51
22,49.5926923076923,4.88627801806472,51
23,49.762307692307694,3.4073727059710475,51
24,50.10269230769231,3.686321489542163,51
25,50.34615384615385,3.13641052891951,51
26,50.32807692307692,3.0109487338887906,51
27,49.77,4.145907585094248,51
28,50.21192307692308,3.7219741492986413,51
29,49.19576923076923,5.0977663486631215,51
30,49.82923076923076,3.8966163443314823,51
31,49.60384615384615,4.903837104064048,51
32,50.2576923076923,3.390089541677583,51
33,49.85,3.3838438806014715,51
34,49.978461538461545,3.538738785125163,51
35,50.74384615384615,1.8196837946264284,51
36,50.64,2.6173268806169396,51
37,50.25576923076923,3.5773092223330867,51
38,50.24,3.2884418352985976,51
39,50.06,3.2936073998189297,51
40,50.49807692307692,2.5407412548821955,51
41,49.964230769230774,3.426231282154864,51
42,49.77576923076923,4.08561864761358,51
43,49.37,4.994451892264257,51
44,49.96,3.77489731041018,51
45,50.74,1.8200000000000003,51
46,49.76384615384615,4.380500835973495,51
47,49.44384615384615,5.095753017618501,51
48,49.784230769230774,4.239549961462849,51
49,49.56576923076923,4.567713083223475,51
