n_cities,fo,iterations,evaporation
22,829,50,0.05
22,789,50,0.1
22,785,50,0.5
22,789,50,0.75
22,785,50,0.95
22,797,75,0.05
22,806,75,0.1
22,781,75,0.5
22,789,75,0.75
22,789,75,0.95
22,801,85,0.05
22,789,85,0.1
22,806,85,0.5
22,789,85,0.75
22,785,85,0.95
22,797,95,0.05
22,789,95,0.1
22,797,95,0.5
22,789,95,0.75
22,789,95,0.95
22,789,100,0.05
22,789,100,0.1
22,789,100,0.5
22,789,100,0.75
22,789,100,0.95
