n_cities,fo,iterations,evaporation
128,23089,50,0.05
128,22650,50,0.1
128,22448,50,0.5
128,22304,50,0.75
128,22722,50,0.95
128,22382,75,0.05
128,22482,75,0.1
128,22672,75,0.5
128,22625,75,0.75
128,21771,75,0.95
128,22888,85,0.05
128,22032,85,0.1
128,22721,85,0.5
128,22281,85,0.75
128,22096,85,0.95
128,22575,95,0.05
128,22689,95,0.1
128,22412,95,0.5
128,21985,95,0.75
128,22326,95,0.95
128,21828,100,0.05
128,22697,100,0.1
128,22206,100,0.5
128,22378,100,0.75
128,22488,100,0.95
