n_cities,fo,iterations,evaporation
59,1071,50,0.05
59,1074,50,0.1
59,1078,50,0.5
59,1074,50,0.75
59,1071,50,0.95
59,1067,75,0.05
59,1082,75,0.1
59,1055,75,0.5
59,1063,75,0.75
59,1072,75,0.95
59,1059,85,0.05
59,1070,85,0.1
59,1072,85,0.5
59,1029,85,0.75
59,1050,85,0.95
59,1080,95,0.05
59,1089,95,0.1
59,1065,95,0.5
59,1070,95,0.75
59,1077,95,0.95
59,1064,100,0.05
59,1060,100,0.1
59,1045,100,0.5
59,1070,100,0.75
59,1077,100,0.95
