gen,avg_fitness,std_fitness,best_of_gen
0,11348279.244454503,1715485.3544811609,13048142.166061852
1,11900641.21721124,1339454.7487617994,13198836.0
2,12276929.082529929,945962.5772453139,13282343.148593575
3,12102523.656089393,1191364.59274461,13282343.148593575
4,12001998.989142569,1295540.5589012164,13195482.99824677
5,12230843.732182302,969015.3810719412,13231252.32817316
6,12138630.923357554,1013922.6398670471,13257459.0
7,12377607.709691573,925121.0646107284,13257459.0
8,12335999.026056698,938023.0938652748,13471565.60556449
9,12406412.00130224,889427.7937307333,13471565.60556449
10,12531000.321929717,768842.8257978113,13471565.60556449
11,12400249.491239285,1047989.4859519617,13471565.60556449
12,12444363.49656742,812328.5478296261,13471565.60556449
13,12187310.64373897,1290480.5006814778,13471565.60556449
14,12261588.36484189,1045955.8607649754,13471565.60556449
15,12481736.305459168,781637.6103400475,13471565.60556449
16,12273712.087256238,999490.6408960195,13403218.153740212
17,12087193.855506064,1373272.6791939824,13401287.571236286
18,12142574.034099981,1212960.5970456752,13401287.571236286
19,12214406.094755856,929590.4695054695,13462279.60951972
20,11914344.966558108,1051661.170714256,13351005.956900962
21,12200726.209030809,1036388.5403193295,13344196.536134994
22,12006812.1226801,1209454.6428871749,13348783.433002664
23,12086432.667553784,1172404.325118441,13348783.433002664
24,12240044.214317536,1017993.7595544269,13348783.433002664
25,12175499.02105988,1244691.7528877414,13348783.433002664
26,12123651.07307291,1019373.8116631659,13348783.433002664
27,12168229.455970306,1111888.6889995649,13348783.433002664
28,11982211.5646017,1500194.6634905967,13348783.433002664
29,12256089.813536074,1086588.2955779799,13348783.433002664
30,12287608.038485859,882952.5495368283,13354558.132418202
31,11955138.174715763,1021386.695491133,13361513.377124002
32,11636845.116461603,1325421.9336330143,13361513.377124002
33,12037284.293980056,1062653.3823636041,13361513.377124002
34,11697600.333727928,1445179.1242210725,13325861.739189092
35,12251657.930097103,819375.175289544,13230602.568070542
36,12375388.297582263,942286.8639529505,13249603.79477919
37,12352458.6937769,818907.5528741509,13249603.79477919
38,12174065.60284652,1119326.2591264124,13252410.0
39,11921137.24729003,1108972.4549794728,13252410.0
40,12169013.70789053,890594.0119461386,13149314.29447642
41,12051472.474999737,1192836.8259351433,13149314.29447642
42,12038273.09125992,1141826.9923367193,13149314.29447642
43,12030091.108460573,1139194.3176542404,13149314.29447642
44,12074082.665612696,1281486.8290753376,13219641.323809292
45,12226700.467099583,1216563.7239110041,13243148.664171213
46,12069334.193664728,1197812.5293959414,13344895.58270692
47,11986599.05873485,1431337.6502317823,13344895.58270692
48,12089304.542304501,1157862.0622644722,13344895.58270692
49,12290087.290576467,844626.6242268594,13344895.58270692
