gen,avg_fitness,std_fitness,best_of_gen
0,5.568962371443757,1.3674444149782858,7.728119759858229
1,3.6739701781605003,2.1064342450162306,9.864247276223367
2,0.9153290377732413,1.7136616062709664,9.230446781017587
3,0.1314225995421094,0.3207497370680351,2.3243694381077487
4,0.12845064359322989,0.39403148109555647,2.8486137743805924
5,0.223786114568417,0.6543289529344943,3.2525382770969
6,0.2230021150611175,0.690899711143282,3.2156955724461445
7,0.2265260392008401,0.7112055194846637,3.224582723882286
8,0.2574746885954311,0.7560269468591717,3.218050121077113
9,0.13999126999505862,0.5795630048742255,3.2384584716437677
10,0.11887558629790146,0.5347150112382681,2.9943260161474403
11,0.19724765094552996,0.7393205212631058,3.2523316651730103
12,0.3704281156631676,0.9735824717016348,3.248662020042705
13,0.23244610728577286,0.7253124024844838,3.1314285483053834
14,0.27924383706472544,0.8066021618287204,3.1934820103441948
15,0.07158992715850086,0.449968926904234,3.2426857667368094
16,0.13241851392667536,0.565909130595094,3.239335618724678
17,0.3138185024793852,0.8762145948941147,3.2439083162297924
18,0.2552657351832931,0.7846157969749721,3.2072798380639793
19,0.26934031716942736,0.859039779605956,3.2524633570837165
20,0.26021009577331033,0.796888195679634,3.1934716764543976
21,0.2583902321264246,0.8098866070697447,3.250183039219412
22,0.3061899105142102,0.887935857066671,3.24352226661377
23,0.20660704288805978,0.7564389538629018,3.2204976948787842
24,0.3546705786466435,0.8594218737934173,3.2237244582768594
25,0.25414977347215206,0.817144395484419,3.2516582187506526
26,0.08526845369300162,0.45061054283307805,2.881103666174081
27,0.2712884355166487,0.8440333828147654,3.2062137184158392
28,0.2499805179635458,0.8022052760287138,3.2261740523434033
29,0.13907911224127908,0.5969187598380282,3.2217767823684587
30,0.21660894765189137,0.747203107463173,3.138170536491796
31,0.354151173159768,0.8797232350698346,3.243624378942411
32,0.1704418972005951,0.6385733909411084,3.0782344928141687
33,0.21631558919843535,0.7259498179705224,3.2505512593319286
34,0.2994414450250276,0.8345076855591242,3.184946905021342
35,0.22293296758518882,0.7922266665204335,3.2415506820610642
36,0.24777073881801154,0.7961854698613573,3.249621944815623
37,0.2479855387729156,0.7729193572236315,3.2238586023126463
38,0.2929524708920777,0.8361805809856063,3.24666109202234
39,0.15312587091137134,0.6016667178850199,3.196588592241245
40,0.232262050478106,0.7821526169041761,3.2223887547062877
41,0.2960837840562528,0.8493003012947469,3.230224943143853
42,0.18386966960876389,0.6731506091181969,3.0643812916364337
43,0.23508667268558261,0.7515390176926875,3.245591611251261
44,0.1959873767877375,0.6990411216956096,3.0511485594703065
45,0.2706605486300394,0.8202426863744888,3.245294725180401
46,0.17885947200544955,0.691176092426204,3.2324768239391877
47,0.2002277685575729,0.6982957006189026,3.2292842100173336
48,0.14102583135264235,0.6171227237930647,3.2479522877450866
49,0.26862152589276767,0.7540308013535506,2.978943166636818
