gen,avg_fitness,std_fitness,best_of_gen
0,1333.5049411764705,342.26418738236714,1726.3529411764705
1,1400.2175294117646,307.4537686606784,1726.3529411764705
2,1436.5098823529413,431.01069591243373,1735.0
3,1495.2079999999999,231.18959709106298,1735.0
4,1354.66,344.50353396372407,1726.3529411764705
5,1439.5064705882355,309.96940533310794,1726.3529411764705
6,1434.8989411764705,341.2397023082233,1726.3529411764705
7,1367.0104705882352,418.46209988296874,1726.3529411764705
8,1415.8196470588236,380.89094695298354,1726.3529411764705
9,1534.392705882353,213.45595233427963,1726.3529411764705
10,1484.0335294117647,360.9537358353488,1726.3529411764705
11,1451.2621176470593,348.87619560984274,1726.3529411764705
12,1482.025647058824,323.83255669579984,1721.0
13,1471.0277647058826,357.7227453835739,1725.2941176470588
14,1601.691529411765,220.5356647573794,1725.2941176470588
15,1600.7108235294115,195.53238710966212,1725.2941176470588
16,1646.8409411764706,144.66839494321616,1725.2941176470588
17,1561.892117647059,218.1373758975615,1725.2941176470588
18,1602.5529411764708,178.8878860780325,1725.2941176470588
19,1589.1342352941178,192.50036064385398,1725.2941176470588
20,1507.3590588235293,342.9773206620606,1725.2941176470588
21,1590.1669411764708,188.69017890466014,1725.2941176470588
22,1554.2136470588237,235.2719639613155,1725.2941176470588
23,1549.4718823529415,246.52111582681567,1735.0
24,1563.5597647058823,226.50968879377606,1735.0
