gen,avg_fitness,std_fitness,best_of_gen
6,12456586.839348627,793392.4456442597,13151468.95335937
7,12678438.542539693,459875.41824456776,13151468.95335937
8,12609855.821831768,694290.8226670559,13192125.423954355
9,12692718.913071666,616552.7233300398,13192125.423954355
10,12874597.174829016,540725.6443857296,13222706.829238247
11,12646766.070421055,843366.9529307697,13244030.505947052
12,12820571.847918332,503998.13530159,13244030.505947052
13,12748107.894002276,750087.0161993734,13244030.505947052
14,12636073.392709466,803571.4531981035,13281020.606946867
15,12823697.286070734,510596.15804401593,13281020.606946867
16,12627899.762193205,986965.8027085344,13281020.606946867
17,12473085.709278114,1014091.072015997,13281020.606946867
18,12442159.042531272,719505.1904788422,13281020.606946867
19,12718675.551136775,688692.797771509,13308956.889414415
20,12788321.403218584,935875.1893972588,13308956.889414415
21,12784049.000899035,701308.0430876332,13308956.889414415
22,12361831.779571416,1273570.8856656314,13308956.889414415
23,12796277.672722775,792811.3841828306,13308956.889414415
24,12626339.789160635,771728.6707520875,13308956.889414415
25,12774187.46691658,602490.1410701243,13308956.889414415
26,12700744.661311118,585976.645950621,13308956.889414415
27,12725220.38755418,495070.9559008053,13418570.0
28,12536190.198997248,992695.3133672602,13418570.0
29,12361851.941837212,970036.9545024029,13418570.0
30,12492412.814945254,954073.0426840729,13418570.0
31,12640644.722697167,570002.0370673821,13418570.0
32,13017749.256246416,205363.40613706602,13418570.0
33,12698637.604542933,949286.9498711156,13418570.0
34,12857228.527664876,704846.9158430131,13418570.0
35,12460044.892396094,884442.0477273724,13457143.746281335
36,12827790.651830476,648537.178709041,13457143.746281335
37,12819842.374355752,924924.0044516858,13457143.746281335
38,12915651.783445967,454017.8768924432,13457143.746281335
39,12936518.278032115,592210.6549722046,13457143.746281335
40,12886771.247049095,658832.1092978795,13457143.746281335
41,12781227.627002912,631332.7608998587,13457143.746281335
42,12401126.266423998,1119502.7163329106,13457143.746281335
43,12795864.288609227,828877.0867396994,13462571.955196762
44,12914874.05791172,647550.7919625448,13462571.955196762
45,12534345.995634476,1082482.6775821864,13462571.955196762
46,12630996.06816431,739040.5636450178,13462571.955196762
47,12693995.975697927,876811.7636979469,13462571.955196762
48,12668573.81288154,887134.1854672837,13465806.42695302
49,12980811.672997147,415545.6530688258,13465806.42695302
0,11028729.368781677,1833947.6262083792,12962361.919035224
1,12234949.396397833,789903.5081144532,12989812.46052422
2,12625551.553732442,511457.4409807557,13064688.022693615
3,12466408.633084577,661289.936379401,13064688.022693615
4,12393107.039750716,824818.5041466147,13111330.35198636
5,12801755.081358245,489891.6329038361,13398165.395863324
6,12727788.587916562,520489.3606270887,13398165.395863324
7,12798100.7483594,460066.2710122968,13401071.863113625
8,12854816.247491507,560995.3710708538,13401071.863113625
9,12654815.422634555,863296.7671064825,13419899.949984698
10,12538693.153297246,938156.4005096194,13419899.949984698
11,12755569.530420275,818072.1693079736,13419899.949984698
12,12752304.869587002,637317.3011925095,13419899.949984698
13,12562128.50845861,721809.4465767397,13419899.949984698
14,12819024.676245207,563377.2913237053,13419899.949984698
15,12886592.243481396,500374.6404299896,13419899.949984698
16,12836200.392096736,555197.4881479272,13419899.949984698
17,12869149.187935093,736986.4037792939,13419899.949984698
18,13141184.182301885,319453.4100635534,13439850.598555945
19,12710884.565499555,652107.6973709301,13439850.598555945
20,12290328.671583487,1046567.3645335841,13439850.598555945
21,12735941.097204493,545377.6841315014,13439850.598555945
22,12555002.559648227,732346.8315529963,13439850.598555945
23,12897175.743839335,641400.5667906408,13439850.598555945
24,12613444.079420734,832518.2710184267,13439850.598555945
25,12792581.754445635,1094572.3816896915,13439850.598555945
26,12828606.891841512,606823.1560153909,13439850.598555945
27,12584072.638410695,1084155.7666051022,13439850.598555945
28,12628992.503094312,886415.7731198833,13447110.125869354
29,12449338.441733252,959654.2741553441,13447110.125869354
30,12710119.68478518,678270.2829199269,13447110.125869354
31,12559595.846218444,821223.5772294755,13447110.125869354
32,12831720.309079768,399414.34501509,13447110.125869354
33,12732743.904085705,521887.0917487953,13447110.125869354
34,12722197.722522045,639665.5283452069,13447110.125869354
35,12804111.181147484,688973.0908803521,13447110.125869354
36,12718915.413666712,704262.9541991856,13447110.125869354
37,12647441.483989988,901455.1345938401,13447110.125869354
38,12631391.467730518,821168.5197872225,13447110.125869354
39,12767071.673124405,603343.7883631266,13447110.125869354
40,12709440.49972693,530921.1115822253,13447110.125869354
41,12491520.566141628,1122799.870449267,13447110.125869354
42,12728623.596360816,797851.4389308691,13447110.125869354
43,12312248.206924185,1141266.027010695,13447110.125869354
44,12812674.88653512,570791.6545185085,13447110.125869354
45,12677805.888301095,745155.8771876466,13447110.125869354
46,12500974.294284513,790189.0289414364,13447110.125869354
47,12759181.566485194,794091.437086637,13447110.125869354
48,12773444.897598287,756883.7017512438,13447110.125869354
49,12617798.235798266,903247.0647734137,13447110.125869354
0,11279332.784685358,1936357.7637368653,13205616.273684533
1,11865655.091373958,1500063.7562502169,13205616.273684533
2,12195704.191012405,1312167.767175952,13224851.62918906
3,12413113.122315057,930014.6733834057,13224851.62918906
4,12664445.369554993,539015.2906217198,13228746.631173078
5,12746274.491208533,497713.97078316467,13249394.647474615
6,12676170.248597605,551173.6511627401,13249394.647474615
