gen,avg_fitness,std_fitness,best_of_gen
0,1194.99632,227.74416979722335,1439.0
1,1189.276717948718,197.40861516102137,1436.5866666666666
2,1290.29841025641,194.78443215843683,1447.768
3,1299.3293333333334,163.57017350621933,1445.224
4,1306.844,161.94285860786042,1451.26
5,1326.800871794872,113.71561270127462,1448.44
6,1292.9254871794872,155.561509013446,1448.44
7,1307.0117435897437,141.03866411515403,1436.6586666666667
8,1320.062564102564,116.69755416646024,1451.26
9,1341.7251282051282,98.84382192397823,1443.2333333333333
10,1319.6901025641023,118.62149952529896,1446.648
11,1335.5378974358975,107.70476101574882,1445.76
12,1359.1923076923076,97.0244647892057,1447.768
13,1336.464871794872,144.96333233228668,1447.768
14,1265.8530769230767,182.15797636043587,1447.768
15,1271.9631794871796,141.1213422436879,1442.3680000000002
16,1339.9802564102563,129.81064742919023,1442.3680000000002
17,1258.8928205128204,196.5776861493684,1436.232
18,1319.611435897436,132.68435950062857,1448.32
19,1342.018,114.75997476070182,1448.32
20,1324.765846153846,130.9293812234904,1452.3813333333333
21,1302.3576410256412,137.29500947040273,1453.164
22,1326.2018461538462,149.16750089625572,1453.164
23,1295.406205128205,136.54945802266192,1453.164
24,1320.1957435897434,130.62739984196543,1443.54
