gen,avg_fitness,std_fitness,best_of_gen
0,11503662.122612786,2017954.5511122618,13251997.0
1,11956135.306698915,981110.6887186946,13251997.0
2,11897084.206234552,1357863.449745076,13251997.0
3,12330373.208150925,1089328.306480777,13251997.0
4,12354098.99652456,1050362.336200082,13251997.0
5,12111044.771668425,1052943.5185763463,13272511.859801723
6,12189933.986843834,1052520.2588075683,13272511.859801723
7,12027895.749815961,1215293.30224188,13390569.232765475
8,12299449.858437408,744612.8564235204,13390569.232765475
9,12312839.113601407,984550.7700614044,13390569.232765475
10,11776200.26264201,1606630.519267766,13390569.232765475
11,12240983.279771902,1039590.656254257,13390569.232765475
12,12302458.844911583,810484.5077554248,13390569.232765475
13,12435170.006572384,680690.2931777535,13390569.232765475
14,12196828.6293938,1221591.3755523353,13390569.232765475
15,12177637.287954453,1688783.3863962544,13390569.232765475
16,12364481.801413354,1277434.7919598026,13390569.232765475
17,12275919.986767242,1167708.6347394614,13390569.232765475
18,12223710.308546863,1140734.0346154806,13390569.232765475
19,12088992.38098669,1191046.6609503056,13390569.232765475
20,12357907.484257432,1084797.213904986,13390569.232765475
21,12434547.013362024,995934.492087023,13390569.232765475
22,12753322.80563764,395616.09074872494,13390569.232765475
23,12456398.285023015,855503.8823704851,13390569.232765475
24,12387411.55557703,917049.1475482922,13390569.232765475
25,12024593.864835858,1571798.3885195989,13390569.232765475
26,11982221.55969556,1399733.2165685839,13390569.232765475
27,12376477.931832718,992203.2648001957,13390569.232765475
28,12481471.06428206,611675.9065568384,13390569.232765475
29,12055021.257696768,1359292.4264039432,13390569.232765475
30,11905266.155604826,1460807.678428916,13390569.232765475
31,12417059.038830455,958737.819848419,13390569.232765475
32,12258363.695007566,930987.3262320008,13390569.232765475
33,12416715.402237395,760056.1019118264,13390569.232765475
34,12124969.545593712,931150.3241767948,13390569.232765475
35,12116111.67855535,1251524.7427641742,13390569.232765475
36,12446682.896414313,1344087.584646647,13390569.232765475
37,12113806.298555259,960510.0851311671,13390569.232765475
38,12108896.096699284,1065776.4337709611,13390569.232765475
39,12247203.779469976,1052637.989282095,13390569.232765475
40,12198697.819519341,972786.2316438394,13390569.232765475
41,12549789.247509174,1009386.8783344079,13390569.232765475
42,12061773.482729953,1475774.467820713,13390569.232765475
43,12314750.812417578,1036925.3798924034,13390569.232765475
44,12190501.57196315,908786.7247838777,13390569.232765475
45,12363858.467501508,1029841.512126042,13390569.232765475
46,12537501.857215744,822585.3466874637,13390569.232765475
47,11925525.102266837,1585000.9152851473,13390569.232765475
48,12220973.320292076,1115819.9728137476,13393389.521911314
49,12313134.25354845,977156.007044167,13393389.521911314
