gen,avg_fitness,std_fitness,best_of_gen
0,11408756.674366225,1664018.3221297346,13175848.3252051
1,12065850.616449399,1298978.9384993112,13175848.3252051
2,12566264.007279698,577055.6850443212,13175848.3252051
3,12698277.839355715,569470.9812448752,13175848.3252051
4,12493942.707615355,782249.0580720432,13301441.432920685
5,12534069.955718528,703717.6758970272,13301441.432920685
6,12398465.036527524,1124873.5600106132,13301441.432920685
7,12387814.570222817,1007057.4524666432,13301441.432920685
8,12434199.082858136,829157.6699731154,13301441.432920685
9,12649553.162434649,640834.386648969,13368445.0
10,12704777.584289286,615903.0101240453,13475893.575637942
11,12688641.799188912,600926.5458414976,13475893.575637942
12,12549134.354285866,751248.8492552963,13475893.575637942
13,12692241.727481872,714363.9125782857,13475893.575637942
14,12522937.725777527,1018562.5299776526,13475893.575637942
15,12671947.4887755,647065.2647638891,13475893.575637942
16,12606958.747042177,846276.8154796559,13475893.575637942
17,12742656.223217348,633085.6351696285,13475893.575637942
18,12787692.530934045,638909.6199347286,13494420.0
19,12990895.647814801,465953.8954240362,13494420.0
20,13000831.503879772,520568.3668518378,13494420.0
21,12771896.60000559,544757.763482131,13494420.0
22,12708037.73973742,855878.5433345478,13494420.0
23,12774055.58675015,862929.8876064176,13494420.0
24,12967476.485489555,602446.9299799959,13494420.0
25,12861850.429190136,577240.5961227388,13494420.0
26,12508839.40327409,1161005.2837943516,13494420.0
27,12444176.766604148,1436770.6159377208,13494420.0
28,12547382.445541589,805594.1929066748,13494420.0
29,12400286.186441602,1296091.9311556602,13494420.0
30,13033915.581084002,608879.4153064935,13494420.0
31,13054053.696951019,423871.12631704705,13494420.0
32,12915014.446767258,457014.46940432535,13494420.0
33,12848073.460630935,642464.5881890041,13494420.0
34,12727264.216746502,1000839.515626186,13494420.0
35,12631994.877973448,808390.959392631,13494420.0
36,12887529.916315503,756827.8785569132,13494420.0
37,12761701.044545798,608589.6087475973,13494420.0
38,12612017.08649646,1304679.7479364485,13494420.0
39,12346549.222444277,1409150.9438695146,13494420.0
40,12524519.531480558,1236601.7081569328,13494420.0
41,12625802.108157316,989821.6187821482,13494420.0
42,12824524.062471896,712981.2739964362,13494420.0
43,12999164.048874108,510619.43954381946,13494420.0
44,12687154.704441715,738278.0989124848,13494420.0
45,12365181.538923977,1130634.8641336854,13501036.132174298
46,12636042.114670504,1241024.104707183,13501036.132174298
47,12564698.780379958,1085012.3534941901,13511853.429946534
48,12808075.668308135,745780.6597077685,13511853.429946534
49,12832800.892897477,806864.9377385107,13511853.429946534
50,12670453.300153362,1237595.6799562178,13514247.473387694
51,12463655.628515376,1319830.6842600321,13535514.573094448
52,12717734.794545101,757730.7072504661,13535514.573094448
53,12813668.96168765,511041.5186632319,13535514.573094448
54,12539468.127589576,1079306.7552587125,13535514.573094448
55,12552482.225399997,845657.1028419584,13535514.573094448
56,12820189.753735902,746194.5826602841,13535514.573094448
57,13055087.293455621,362568.87190816394,13535514.573094448
58,12552007.809719477,859582.704927153,13535514.573094448
59,12464093.662587957,994951.1136213328,13535514.573094448
60,12629736.579836031,932555.7500156299,13535514.573094448
61,12768030.448378235,614032.8434643432,13535514.573094448
62,13009815.420978962,505173.37435638584,13535514.573094448
63,12806422.234918348,695846.0985463891,13535514.573094448
64,12622763.377219351,940688.6099428002,13535514.573094448
65,12749687.126120003,654700.1736449974,13535514.573094448
66,12566128.990738928,891458.147637251,13535514.573094448
67,12673203.131879497,1162473.3400257356,13535514.573094448
68,12499359.418393722,1250025.0742545454,13535514.573094448
69,12659758.498737724,985321.0985403158,13535514.573094448
70,12939984.289615214,628539.3245987919,13535514.573094448
71,12955321.572850881,603597.9367928765,13535514.573094448
72,12817484.305840902,729187.3119317739,13535514.573094448
73,13011318.018630018,651553.7235095184,13535514.573094448
74,12795229.249384413,747159.7446596703,13535514.573094448
75,12855208.364663998,657401.0706857785,13535514.573094448
76,12733010.3208886,753052.5029188015,13535514.573094448
77,12679496.558136238,1121857.073804684,13535514.573094448
78,12806925.311821623,846269.5609728709,13535514.573094448
79,12919415.927196268,622718.6008053157,13535514.573094448
80,12930767.393558761,806230.3354734728,13535514.573094448
81,12831081.245295163,691616.3326918732,13535514.573094448
82,12888795.96112398,625421.1209065638,13535514.573094448
83,12890882.626878198,738834.1910506927,13535514.573094448
84,12843561.624288697,825181.7704171945,13535514.573094448
85,12907377.976159679,637616.8190169269,13535514.573094448
86,12778993.13577477,893653.5451092294,13535514.573094448
87,13077259.00013854,461838.84329062724,13535514.573094448
88,12861871.18384157,613168.5133918598,13535514.573094448
89,12798802.002476124,901897.9420211081,13548605.367806653
90,12907885.332067456,633778.659654374,13548605.367806653
91,12649264.405009488,959064.8289957228,13548605.367806653
92,12835226.150900228,699078.0768367546,13548605.367806653
93,12671921.952934267,750503.6552431823,13548605.367806653
94,12797749.435310056,699406.2796499545,13548605.367806653
95,12649802.901835833,861594.8159019691,13548605.367806653
96,12776225.306393376,485639.53074312233,13548605.367806653
97,12744261.178397067,508926.3230216646,13548605.367806653
98,12800032.891484313,514245.4394293612,13548605.367806653
99,12465224.409172993,831653.6251586733,13548605.367806653
